,PM10,NO2,NO,NOX
665,5.0,21.2,9.52,29.71
666,51.0,7.99,0.62,9.4
667,28.0,24.62,7.38,36.53
668,26.0,14.86,2.3,22.48
669,15.0,7.19,0.27,7.55
670,14.0,13.75,2.3,18.22
671,17.0,14.58,3.28,19.32
672,21.0,6.39,1.02,8.43
673,12.0,37.83,6.35,48.03
674,40.0,7.62,0.94,9.53
675,22.0,12.64,3.27,13.48
676,34.0,19.02,1.93,27.6
677,13.0,10.51,2.29,13.87
678,32.0,4.94,0.23,5.76
679,8.0,11.53,1.6,14.3
680,16.0,27.0,11.17,45.64
681,12.0,3.54,0.0,3.24
682,10.0,35.22,18.27,63.82
683,45.0,25.41,4.69,33.86
684,13.0,3.62,0.45,2.76
685,14.0,8.08,2.34,12.13
686,29.0,7.24,2.45,11.94
687,25.0,30.71,2.68,35.28
688,22.0,9.75,1.37,14.65
689,25.0,14.81,3.8,22.24
690,16.0,34.15,4.25,41.91
691,70.0,37.79,6.48,49.43
692,27.0,60.89,6.11,70.71
693,20.0,14.8,2.97,19.35
694,5.0,14.8,1.06,16.89
695,10.0,24.52,11.92,42.06
696,12.0,15.09,5.52,24.73
697,23.0,27.83,2.4,34.21
698,21.0,28.2,8.64,41.91
699,18.0,23.14,5.66,34.96
700,3.0,12.32,6.73,23.82
701,15.0,8.41,1.34,11.55
702,5.0,13.31,5.37,20.18
703,52.0,18.42,2.0,23.52
704,15.0,52.16,5.92,63.19
705,19.0,9.32,1.89,12.1
706,11.0,9.96,2.08,14.68
707,17.0,13.19,1.56,16.04
708,19.0,21.31,0.61,21.79
709,22.0,56.96,31.71,106.69
710,28.0,23.12,2.6,29.79
711,21.0,0.71,0.0,1.18
712,12.0,13.71,3.26,18.47
713,17.0,8.61,1.79,13.02
714,10.0,12.72,1.66,15.06
715,20.0,5.51,1.14,7.72
716,19.0,9.88,0.82,13.29
717,13.0,6.34,1.09,8.48
718,14.0,5.61,0.68,7.11
719,17.0,14.43,2.23,18.32
720,5.0,9.1,3.51,14.38
721,26.0,4.12,0.38,4.74
722,16.0,6.41,1.54,11.44
723,2.0,11.75,2.75,10.05
724,16.0,20.47,2.68,24.0
725,3.0,7.22,1.03,9.26
726,3.0,12.85,2.07,16.49
727,13.0,16.82,6.07,27.24
728,29.0,29.5,7.13,36.35
729,22.0,15.69,1.7,20.06
730,18.0,13.87,4.71,21.56
731,23.0,12.67,1.11,14.85
732,5.0,5.87,0.6,7.26
733,16.0,11.45,3.04,11.47
734,2.0,11.41,2.61,15.88
735,20.0,45.44,22.85,76.05
736,6.0,18.17,5.53,27.33
737,18.0,12.92,2.47,16.48
738,37.0,7.62,1.38,10.2
739,10.0,17.44,2.68,22.01
740,18.0,5.52,1.85,10.52
741,32.0,17.31,1.36,20.75
742,10.0,13.93,3.56,19.85
743,8.0,3.93,1.41,7.07
744,12.0,8.48,1.42,11.12
745,11.0,26.54,7.0,38.61
746,13.0,4.86,0.78,6.06
747,16.0,16.11,0.95,18.03
748,16.0,9.19,3.3,18.22
749,25.0,53.71,5.53,64.08
750,17.0,14.29,3.14,19.57
751,17.0,11.61,3.51,16.81
752,11.0,11.6,2.49,15.89
753,16.0,56.58,12.98,72.55
754,30.0,10.88,0.58,17.77
755,45.0,2.32,0.16,3.03
756,54.0,20.87,1.57,24.66
757,15.0,33.45,16.42,59.18
758,33.0,9.03,1.81,14.96
759,53.0,18.07,2.28,22.02
760,11.0,2.58,1.08,5.89
761,13.0,17.7,3.24,25.04
762,26.0,19.79,1.25,22.85
763,23.0,37.71,6.76,48.56
764,15.0,1.57,0.0,2.59
765,13.0,20.78,1.66,24.89
766,14.0,8.75,2.63,13.25
767,16.0,10.96,2.54,16.36
768,44.0,9.76,1.9,12.55
769,27.0,15.97,1.44,18.64
770,22.0,31.21,6.5,41.63
771,23.0,10.67,3.56,17.22
772,23.0,25.35,4.92,33.78
773,44.0,27.17,2.23,31.82
