16/3/21 10.00 PM;11.48;7.58;0.40;8.65;23;0;0;0;0;0;0;0;0;0;0
17/3/21 12.00 AM;5.62;3.41;0.40;4.42;11;0;0;0;0;0;0;0;0;0;0
17/3/21 6.00 AM;6.59;4.91;0.15;5.60;13;0;0;0;0;0;0;0;0;0;0
17/3/21 8.00 AM;3.17;13.21;1.44;15.88;8;0;0;0;0;0;0;0;0;0;0
17/3/21 10.00 AM;1.47;10.50;2.78;15.23;8;0;0;0;0;0;0;0;0;0;0
17/3/21 12.00 PM;0.73;7.27;1.88;10.62;5;0;0;0;0;0;0;0;0;0;0
17/3/21 2.00 PM;11.97;6.98;2.75;11.66;24;0;0;0;0;0;0;0;0;0;0
17/3/21 4.00 PM;5.86;6.51;1.60;9.43;12;0;0;0;0;0;0;0;0;0;0
17/3/21 6.00 PM;9.04;10.67;1.50;13.43;18;0;0;0;0;0;0;0;0;0;0
17/3/21 8.00 PM;5.13;21.70;0.80;23.38;12;0;0;0;0;0;0;0;0;0;0
17/3/21 10.00 PM;8.30;16.81;0.66;18.29;17;0;0;0;0;0;0;0;0;0;0
18/3/21 12.00 AM;11.48;9.28;0.13;9.95;23;0;0;0;0;0;0;0;0;0;0
18/3/21 2.00 AM;17.34;5.89;0.43;7.02;35;0;0;0;0;0;0;0;0;0;0
18/3/21 4.00 AM;12.94;3.35;0.10;3.96;26;0;0;0;0;0;0;0;0;0;0
18/3/21 6.00 AM;43.47;6.01;0.21;6.80;87;0;0;0;0;0;0;0;0;0;0
18/3/21 8.00 AM;21.73;31.21;6.50;41.63;43;0;0;0;0;0;0;0;0;0;0
18/3/21 10.00 AM;10.74;15.02;3.42;20.72;21;0;0;0;0;0;0;0;0;0;0
18/3/21 12.00 PM;29.30;13.37;5.37;22.07;59;0;0;0;0;0;0;0;0;0;0
18/3/21 2.00 PM;14.65;15.88;5.02;24.03;29;0;0;0;0;0;0;0;0;0;0
18/3/21 4.00 PM;13.68;9.46;2.19;13.28;27;0;0;0;0;0;0;0;0;0;0
18/3/21 6.00 PM;16.12;17.49;4.13;24.29;32;0;0;0;0;0;0;0;0;0;0
18/3/21 8.00 PM;10.26;45.83;2.51;50.13;25;0;0;0;0;0;0;0;0;0;0
18/3/21 10.00 PM;10.74;21.25;1.96;24.71;21;0;0;0;0;0;0;0;0;0;0
19/3/21 12.00 AM;23.69;9.63;0.33;10.61;47;0;0;0;0;0;0;0;0;0;0
19/3/21 2.00 AM;25.40;5.56;0.53;6.84;51;0;0;0;0;0;0;0;0;0;0
19/3/21 4.00 AM;16.12;4.78;0.22;5.58;32;0;0;0;0;0;0;0;0;0;0
19/3/21 6.00 AM;13.92;9.57;0.62;10.99;28;0;0;0;0;0;0;0;0;0;0
19/3/21 8.00 AM;10.50;23.79;4.83;31.66;21;0;0;0;0;0;0;0;0;0;0
19/3/21 10.00 AM;14.90;13.35;2.34;17.40;30;0;0;0;0;0;0;0;0;0;0
19/3/21 12.00 PM;19.05;11.25;2.83;16.06;38;0;0;0;0;0;0;0;0;0;0
19/3/21 2.00 PM;12.21;16.27;6.27;26.35;24;0;0;0;0;0;0;0;0;0;0
19/3/21 4.00 PM;7.81;13.47;3.97;20.02;16;0;0;0;0;0;0;0;0;0;0
19/3/21 6.00 PM;7.57;21.61;4.89;29.56;15;0;0;0;0;0;0;0;0;0;0
19/3/21 8.00 PM;12.45;34.05;1.91;37.44;25;0;0;0;0;0;0;0;0;0;0
19/3/21 10.00 PM;21.49;29.25;1.40;31.86;43;0;0;0;0;0;0;0;0;0;0
20/3/21 12.00 AM;43.71;11.26;0.14;11.95;87;0;0;0;0;0;0;0;0;0;0
20/3/21 2.00 AM;48.60;7.71;0.10;8.33;97;0;0;0;0;0;0;0;0;0;0
20/3/21 4.00 AM;34.43;6.11;0.21;6.89;69;0;0;0;0;0;0;0;0;0;0
20/3/21 6.00 AM;57.63;4.45;0.11;5.09;115;0;0;0;0;0;0;0;0;0;0
20/3/21 8.00 AM;28.82;14.85;0.80;16.54;58;0;0;0;0;0;0;0;0;0;0
20/3/21 10.00 AM;14.41;16.87;2.17;20.67;29;0;0;0;0;0;0;0;0;0;0
20/3/21 12.00 PM;22.22;14.10;1.88;17.44;44;0;0;0;0;0;0;0;0;0;0
20/3/21 2.00 PM;10.99;16.01;2.51;20.32;22;0;0;0;0;0;0;0;0;0;0
20/3/21 4.00 PM;5.37;16.30;2.73;20.95;11;0;0;0;0;0;0;0;0;0;0
20/3/21 6.00 PM;12.21;19.38;1.25;21.75;24;0;0;0;0;0;0;0;0;0;0
20/3/21 8.00 PM;7.81;42.55;2.63;47.04;24;0;0;0;0;0;0;0;0;0;0
20/3/21 10.00 PM;13.19;12.58;0.92;14.46;26;0;0;0;0;0;0;0;0;0;0
21/3/21 12.00 AM;16.12;5.29;0.12;5.94;32;0;0;0;0;0;0;0;0;0;0
21/3/21 2.00 AM;13.68;4.33;0.19;5.09;27;0;0;0;0;0;0;0;0;0;0
21/3/21 4.00 AM;45.18;3.93;0.10;4.55;90;0;0;0;0;0;0;0;0;0;0
21/3/21 6.00 AM;22.47;4.09;0.10;4.71;45;0;0;0;0;0;0;0;0;0;0
21/3/21 8.00 AM;15.87;11.73;0.58;13.09;32;0;0;0;0;0;0;0;0;0;0
21/3/21 10.00 AM;7.81;15.56;2.58;19.97;16;0;0;0;0;0;0;0;0;0;0
21/3/21 12.00 PM;3.91;20.50;7.81;32.93;16;0;0;0;0;0;0;0;0;0;0
21/3/21 2.00 PM;25.89;15.60;3.30;21.12;52;0;0;0;0;0;0;0;0;0;0
21/3/21 4.00 PM;12.94;5.42;0.89;7.24;26;0;0;0;0;0;0;0;0;0;0
21/3/21 6.00 PM;50.31;7.05;0.75;8.66;101;0;0;0;0;0;0;0;0;0;0
21/3/21 8.00 PM;25.15;5.00;0.44;6.15;50;0;0;0;0;0;0;0;0;0;0
21/3/21 10.00 PM;12.45;3.56;0.17;4.28;25;0;0;0;0;0;0;0;0;0;0
22/3/21 8.00 AM;8.55;14.60;4.32;21.69;17;0;0;0;0;0;0;0;0;0;0
22/3/21 10.00 AM;20.76;17.09;3.93;23.58;42;0;0;0;0;0;0;0;0;0;0
22/3/21 12.00 PM;10.26;11.33;2.52;15.65;21;0;0;0;0;0;0;0;0;0;0
22/3/21 2.00 PM;5.13;14.78;3.32;20.34;10;0;0;0;0;0;0;0;0;0;0
22/3/21 4.00 PM;2.44;13.36;2.99;18.42;9;0;0;0;0;0;0;0;0;0;0
22/3/21 6.00 PM;6.59;14.06;3.33;19.63;13;0;0;0;0;0;0;0;0;0;0
22/3/21 8.00 PM;12.45;16.05;3.35;21.65;25;0;0;0;0;0;0;0;0;0;0
22/3/21 10.00 PM;13.92;8.53;1.28;10.95;28;0;0;0;0;0;0;0;0;0;0
23/3/21 12.00 AM;16.36;5.45;0.80;7.15;33;0;0;0;0;0;0;0;0;0;0
23/3/21 2.00 AM;10.50;4.39;0.29;5.30;21;0;0;0;0;0;0;0;0;0;0
23/3/21 4.00 AM;6.11;7.50;0.66;8.98;12;0;0;0;0;0;0;0;0;0;0
23/3/21 6.00 AM;5.86;8.33;1.23;10.68;12;0;0;0;0;0;0;0;0;0;0
23/3/21 8.00 AM;10.74;14.57;4.02;21.20;21;0;0;0;0;0;0;0;0;0;0
23/3/21 10.00 AM;9.28;9.50;3.36;15.11;19;0;0;0;0;0;0;0;0;0;0
23/3/21 12.00 PM;15.87;10.76;3.63;16.79;32;0;0;0;0;0;0;0;0;0;0
23/3/21 2.00 PM;12.70;9.08;2.99;14.12;25;0;0;0;0;0;0;0;0;0;0
23/3/21 4.00 PM;48.84;8.77;2.16;12.55;98;0;0;0;0;0;0;0;0;0;0
23/3/21 6.00 PM;24.91;11.75;1.21;14.06;50;0;0;0;0;0;0;0;0;0;0
23/3/21 8.00 PM;20.76;16.42;3.74;22.62;42;0;0;0;0;0;0;0;0;0;0
23/3/21 10.00 PM;20.27;9.96;1.53;12.76;41;0;0;0;0;0;0;0;0;0;0
24/3/21 12.00 AM;18.56;1.28;0.10;1.78;37;0;0;0;0;0;0;0;0;0;0
24/3/21 2.00 AM;12.94;1.22;0.57;2.56;26;0;0;0;0;0;0;0;0;0;0
24/3/21 4.00 AM;14.41;2.13;0.60;3.53;29;0;0;0;0;0;0;0;0;0;0
24/3/21 6.00 AM;15.14;6.07;0.18;6.81;30;0;0;0;0;0;0;0;0;0;0
24/3/21 8.00 AM;10.01;18.20;1.56;21.06;20;0;0;0;0;0;0;0;0;0;0
24/3/21 10.00 AM;13.68;19.95;1.46;22.64;27;0;0;0;0;0;0;0;0;0;0
24/3/21 12.00 PM;20.02;9.54;2.60;13.99;40;0;0;0;0;0;0;0;0;0;0
24/3/21 2.00 PM;23.20;7.93;2.61;12.41;46;0;0;0;0;0;0;0;0;0;0
24/3/21 4.00 PM;47.62;6.95;1.76;10.11;95;0;0;0;0;0;0;0;0;0;0
24/3/21 6.00 PM;29.06;13.55;3.46;19.31;58;0;0;0;0;0;0;0;0;0;0
24/3/21 8.00 PM;18.56;17.67;3.48;23.46;37;0;0;0;0;0;0;0;0;0;0
24/3/21 10.00 PM;20.51;10.83;0.89;12.66;41;0;0;0;0;0;0;0;0;0;0
