Parm;PM10;NO2;NO;NOX;IQA
6/11/21 0.00;10.98900986;17.65894165;5.954166955;20.91110443;22
6/11/21 2.00;14.65200996;16.1642271;0.953733026;11.81219609;29
6/11/21 4.00;19.04759979;8.976927575;1.231181783;5.460911054;38
6/11/21 6.00;42.49084091;7.258202048;1.103454046;3.642552888;85
6/11/21 8.00;21.24542046;17.32325818;2.87557689;15.8613507;42
6/11/21 10.00;19.53602028;20.88366553;5.215712247;22.81054097;39
6/11/21 12.00;9.768010139;21.55686319;7.480562093;26.91870344;20
6/11/21 14.00;4.88400507;21.19828661;9.521253626;29.70913302;15
6/11/21 16.00;2.930402994;11.06522721;1.080615294;7.20145204;6
6/11/21 18.00;9.035408974;26.63886237;11.18383603;37.39435984;19
6/11/21 20.00;4.395605087;27.84854638;5.430566604;29.71498439;15
6/11/21 22.00;10.50061035;22.47806491;4.424811225;23.10300197;21
7/11/21 0.00;10.50061035;16.03524347;4.37236729;16.9404337;21
7/11/21 2.00;13.18680954;22.48010897;2.51015597;20.16924752;26
7/11/21 4.00;14.40781021;11.48151337;0.651329278;6.93621934;29
7/11/21 6.00;16.60560989;8.600485082;0.869990738;4.551732085;33
7/11/21 8.00;11.72161007;10.92234361;2.476743907;9.207222536;23
7/11/21 10.00;13.67521;15.51248204;5.532917843;18.22638429;27
7/11/21 12.00;19.29179955;14.2890412;8.005855911;20.86313194;39
7/11/21 14.00;13.43101025;15.47744857;7.311808309;20.92083605;27
7/11/21 16.00;8.547009468;7.495885072;3.190246152;7.066566438;17
7/11/21 18.00;12.94260979;12.69396442;5.371354155;15.31791892;26
7/11/21 20.00;15.14041042;17.50117707;8.100594282;24.04070387;30
7/11/21 22.00;17.82661057;13.28198715;6.009149306;16.85094181;36
8/11/21 0.00;18.80340958;12.13960303;5.501619045;14.99432385;38
8/11/21 2.00;19.53602028;8.415009914;2.651418876;7.108069875;39
8/11/21 4.00;24.66422081;4.549617367;4.642625877;7.007554471;49
8/11/21 6.00;24.17580986;6.993428395;3.014301975;6.82597733;48
8/11/21 8.00;14.40781021;22.6802773;15.97194985;41.54986207;29
8/11/21 10.00;18.31501007;20.35146058;8.222824127;27.46278254;37
8/11/21 12.00;25.64101982;19.77696311;13.43556448;34.91130323;51
8/11/21 14.00;18.80340958;29.90230305;23.36876743;59.73085948;38
8/11/21 16.00;14.89620972;16.07933207;7.186617872;21.82807946;30
8/11/21 18.00;25.15262032;23.71493619;12.54950826;37.28218272;50
8/11/21 20.00;23.19902039;10.30760314;1.907464862;8.267564102;46
8/11/21 22.00;26.86202049;5.332233302;0.727458624;1.746376745;54
9/11/21 0.00;15.87300968;4.175012431;0.315937429;0.019454599;32
9/11/21 2.00;21.24542046;4.070246166;0.75029745;0.586232581;42
9/11/21 4.00;24.90842056;3.62653045;2.131201591;2.283323624;50
9/11/21 6.00;31.25761986;3.890841636;2.141352131;2.549204551;63
9/11/21 8.00;33.45542145;19.5393398;15.80149725;38.31391683;67
9/11/21 16.00;8.058608055;28.79506272;11.65076294;40.71527305;20
9/11/21 18.00;28.08300972;42.99124325;19.70483209;66.50884471;56
9/11/21 20.00;42.00244141;27.24548313;10.00171459;36.71929134;84
9/11/21 22.00;38.82783127;30.6295142;12.49495225;43.74692173;78
10/11/21 0.00;36.63003159;31.1444349;9.934467099;40.30866745;73
10/11/21 2.00;37.36262131;18.38898276;6.310706395;22.6724001;75
10/11/21 4.00;23.93161964;6.708509997;4.09068732;12.24084507;48
10/11/21 6.00;14.16361046;8.962672037;2.805369696;12.30699256;28
10/11/21 8.00;16.11721039;17.88315366;44.36525516;84.09063906;42
10/11/21 12.00;20.75702095;19.22301746;10.86493756;33.9359713;42
10/11/21 14.00;18.07081032;29.32403655;21.25152326;58.98898434;36
10/11/21 16.00;21.73381996;24.08083564;10.76639305;38.17449409;43
10/11/21 18.00;19.29179955;35.62289128;16.18553589;56.91318246;39
10/11/21 20.00;25.64101982;44.35321791;24.59739853;77.69979618;51
10/11/21 22.00;24.66422081;39.89801021;30.0254404;81.99665399;49
11/11/21 0.00;31.25761986;32.51833841;23.40471791;65.17684717;63
11/11/21 2.00;33.69963074;29.28528147;12.94665343;46.22028501;67
11/11/21 4.00;30.28083038;18.28512046;3.136955781;32.21035459;61
11/11/21 6.00;30.03663063;10.71801422;0.927087097;19.05061261;60
11/11/21 8.00;27.35042;15.50546003;8.815364843;37.32757506;55
11/11/21 10.00;21.48962021;16.02422816;6.921856212;35.09418548;43
11/11/21 14.00;21.24542046;23.75881692;20.40225474;64.74169767;42
11/11/21 16.00;27.59461975;22.37112649;13.67072319;52.63382224;55
11/11/21 18.00;24.66422081;24.49923879;11.56744298;52.14874736;49
11/11/21 20.00;28.32722092;29.54477677;16.65796182;66.44983867;57
11/11/21 22.00;31.50181961;24.08016644;5.463978667;42.2508779;63
