PM10,NO2,NO,NOX,IQA,clusters
21.0,15.59,2.74,20.26,41,0
18.0,30.41,5.75,39.69,79,1
38.0,29.36,6.53,39.84,80,1
40.0,14.08,0.5,15.3,80,3
21.0,5.7,0.41,6.8,42,0
16.0,32.61,22.18,67.08,134,2
27.0,37.37,26.66,78.71,157,2
26.0,17.7,6.43,28.02,56,1
52.0,19.16,5.27,27.69,104,3
26.0,14.0,4.54,21.43,52,1
15.0,26.86,5.01,35.0,70,1
15.0,48.89,15.85,73.65,147,2
33.0,45.91,11.37,63.8,128,2
57.0,16.89,0.67,18.38,113,3
66.0,6.16,0.45,7.31,131,3
50.0,3.6,0.02,4.1,101,3
33.0,9.55,0.43,10.67,66,1
38.0,21.57,2.91,26.49,76,1
42.0,16.76,2.68,21.32,84,3
36.0,11.54,2.67,16.09,71,1
53.0,18.38,5.35,27.05,106,3
27.0,16.19,3.69,22.31,53,1
28.0,34.02,7.21,45.53,91,2
27.0,60.89,6.11,70.71,141,2
50.0,41.74,4.8,49.57,100,2
53.0,20.48,0.73,22.06,105,3
47.0,6.65,0.35,7.65,94,3
34.0,3.36,0.07,3.92,68,1
30.0,8.68,0.39,9.75,60,1
35.0,37.21,15.87,62.0,124,2
48.0,36.78,19.31,66.84,134,2
58.0,21.14,5.65,30.27,116,3
42.0,28.18,8.95,42.36,85,2
42.0,21.51,3.97,28.06,85,3
55.0,36.65,9.08,51.03,111,2
76.0,55.89,10.08,71.79,152,2
102.0,44.29,13.13,64.88,204,4
98.0,15.65,0.55,16.97,196,3
75.0,7.1,0.38,8.15,151,3
46.0,4.62,0.93,6.51,93,3
28.0,17.28,0.96,19.21,56,1
29.0,41.61,23.73,78.45,157,2
18.0,44.58,13.6,65.88,132,2
38.0,20.98,4.14,27.79,76,1
40.0,34.4,10.85,51.5,103,2
41.0,17.53,2.36,21.61,83,3
47.0,37.8,5.53,46.73,94,2
71.0,84.55,34.39,137.73,275,4
99.0,43.37,11.57,61.57,197,4
106.0,16.58,0.56,17.9,212,4
88.0,5.97,0.35,6.97,177,3
57.0,8.55,0.2,9.32,113,3
46.0,39.34,12.85,59.5,119,2
43.0,51.67,23.85,88.69,177,4
60.0,35.49,8.93,49.65,121,2
65.0,35.62,11.94,54.38,130,2
56.0,25.39,3.09,30.58,113,3
62.0,64.22,12.1,83.22,166,4
78.0,91.92,26.15,132.45,265,4
112.0,39.04,3.85,45.4,225,4
124.0,14.16,0.33,15.13,248,4
95.0,7.39,0.03,7.9,189,3
75.0,4.27,0.01,4.75,150,3
61.0,7.43,0.1,8.05,123,3
47.0,29.89,7.07,41.19,95,2
42.0,24.51,5.22,32.97,84,3
56.0,24.62,5.46,33.45,113,3
52.0,15.21,3.0,20.28,105,3
45.0,12.68,0.96,14.62,90,3
53.0,27.58,2.3,31.56,105,3
76.0,55.85,4.28,62.85,151,2
98.0,27.98,1.92,31.38,196,4
95.0,8.49,0.08,9.07,191,3
83.0,8.66,0.22,9.45,167,3
76.0,6.14,0.14,6.82,153,3
52.0,8.96,0.4,10.03,103,3
41.0,9.91,1.86,13.22,82,3
64.0,8.56,2.63,13.06,129,3
32.0,4.72,1.11,6.88,64,1
16.0,3.38,0.39,4.44,32,0
52.0,12.06,1.17,14.31,104,3
26.0,18.3,2.07,21.94,52,1
13.0,16.92,0.57,18.26,37,0
6.0,3.28,0.07,3.85,13,0
14.0,4.97,0.52,6.24,27,0
12.0,19.66,3.33,25.23,50,1
18.0,18.45,4.11,25.21,50,1
17.0,10.24,2.09,13.9,33,0
48.0,12.75,3.45,18.5,95,3
24.0,13.61,4.07,20.31,47,1
16.0,18.52,2.89,23.41,47,1
19.0,27.54,1.94,30.98,62,1
21.0,19.62,0.72,21.18,42,1
24.0,6.57,0.05,7.11,49,0
25.0,3.33,0.07,3.89,50,0
17.0,10.86,0.77,12.52,34,0
14.0,53.0,31.58,101.88,204,4
21.0,37.81,18.09,66.01,132,2
28.0,16.8,5.14,25.15,55,1
30.0,10.78,2.91,15.71,60,1
55.0,12.65,2.95,17.64,110,3
34.0,34.66,8.9,48.76,98,2
26.0,66.21,15.84,90.95,182,4
30.0,40.18,5.42,48.95,98,2
40.0,12.41,0.24,13.23,79,3
42.0,5.68,0.1,6.3,85,3
38.0,5.37,0.53,6.65,76,3
32.0,7.43,0.4,8.5,64,1
27.0,28.31,5.24,36.81,74,1
30.0,26.21,5.58,35.23,70,1
27.0,13.49,3.67,19.58,53,1
52.0,12.01,2.63,16.51,103,3
26.0,13.66,2.01,17.21,51,1
15.0,30.2,6.19,40.15,80,2
20.0,63.42,8.33,76.64,153,2
21.0,32.53,2.69,37.11,74,1
33.0,14.08,0.79,15.75,66,1
26.0,5.64,0.03,6.14,53,1
27.0,4.63,0.13,5.3,54,1
29.0,10.19,0.8,11.88,58,1
18.0,32.32,13.01,52.73,105,2
31.0,32.11,11.77,50.62,101,2
40.0,30.81,6.59,41.38,83,2
33.0,17.74,2.7,22.34,67,1
28.0,15.77,2.63,20.27,55,1
19.0,28.76,4.11,35.52,71,1
