Parm;PM10;NO2;NO;NOX;IQA;starnuti;tosse;asma;difficolta_respiratorie;mal_di_testa;sonnolenza;occhi_gonfi;lacrimazione;gola_irritata;prurito
31/5/21 8.00 AM;3.17;12.08;3.21;18.39;9;0;0;0;0;0;0;0;0;0;0
31/5/21 10.00 AM;1.47;8.78;3.22;15.24;8;0;0;0;0;0;0;0;0;0;0
31/5/21 12.00 PM;0.73;9.65;3.91;17.14;9;0;0;0;0;0;0;0;0;0;0
31/5/21 2.00 PM;0.24;5.81;2.31;10.99;5;0;0;0;0;0;0;0;0;0;0
31/5/21 4.00 PM;32.97;8.80;3.55;15.77;66;0;0;0;0;0;0;0;0;0;0
31/5/21 6.00 PM;19.54;12.70;4.07;20.30;39;0;0;0;0;0;0;0;0;0;0
31/5/21 8.00 PM;27.59;15.86;3.59;22.60;55;0;0;0;0;0;0;0;0;0;0
31/5/21 10.00 PM;18.80;7.45;1.45;11.24;38;0;0;0;0;0;0;0;0;0;0
1/6/21 12.00 AM;9.28;3.67;0.60;6.31;19;0;0;0;0;0;0;0;0;0;0
1/6/21 2.00 AM;4.88;2.23;0.62;4.96;10;0;0;0;0;0;0;0;0;0;0
1/6/21 4.00 AM;6.35;2.36;0.56;4.84;13;0;0;0;0;0;0;0;0;0;0
1/6/21 6.00 AM;6.35;10.58;1.39;14.01;13;0;0;0;0;0;0;0;0;0;0
1/6/21 8.00 AM;12.45;14.98;3.35;21.24;25;0;0;0;0;0;0;0;0;0;0
1/6/21 10.00 AM;11.72;11.18;2.71;16.60;23;0;0;0;0;0;0;0;0;0;0
1/6/21 12.00 PM;17.58;10.78;3.38;17.25;35;0;0;0;0;0;0;0;0;0;0
1/6/21 2.00 PM;12.94;9.59;2.24;14.37;26;0;0;0;0;0;0;0;0;0;0
1/6/21 4.00 PM;41.51;8.29;2.35;13.28;83;0;0;0;0;0;0;0;0;0;0
1/6/21 6.00 PM;23.93;13.94;2.96;19.64;48;0;0;0;0;0;0;0;0;0;0
1/6/21 8.00 PM;16.61;26.91;2.95;32.09;33;0;0;0;0;0;0;0;0;0;0
1/6/21 10.00 PM;22.71;26.80;0.61;28.39;45;0;0;0;0;0;0;0;0;0;0
2/6/21 12.00 AM;46.40;9.73;0.67;12.09;93;0;0;0;0;0;0;0;0;0;0
2/6/21 2.00 AM;23.20;2.77;0.59;5.28;46;0;0;0;0;0;0;0;0;0;0
2/6/21 4.00 AM;11.48;2.47;0.60;5.02;23;0;0;0;0;0;0;0;0;0;0
